start;duration;pitch;velocity;instrument;string;fret;hammer;slides;harmonic
0.0;1.2;59;95;guitar;2;0;False;[];
0.0;1.2;66;95;guitar;3;11;False;[];
0.0;1.2;62;95;guitar;4;12;False;[];
1.8;0.6;64;95;guitar;3;9;False;[];
2.4000000000000004;0.6;66;95;guitar;3;11;False;[];
3.0;0.6;67;95;guitar;3;12;False;[];
3.5999999999999996;0.6;66;95;guitar;3;11;False;[];
4.2;0.6;64;95;guitar;3;9;False;[];
4.8;2.4;59;95;guitar;2;0;False;[];
4.8;2.4;66;95;guitar;3;11;False;[];
4.8;2.4;62;95;guitar;4;12;False;[];
7.8;0.6;66;95;guitar;2;7;False;[];
8.4;0.6;66;95;guitar;2;7;False;[];
9.000000000000002;0.6;66;95;guitar;2;7;False;[];
9.600000000000001;1.2;71;95;guitar;2;12;False;[];
9.600000000000001;1.2;55;95;guitar;3;0;False;[];
9.600000000000001;1.2;62;95;guitar;4;12;False;[];
10.8;1.2;71;95;guitar;2;12;False;[];
10.8;1.2;55;95;guitar;3;0;False;[];
10.8;1.2;62;95;guitar;4;12;False;[];
12.000000000000002;1.2;71;95;guitar;2;12;False;[];
12.000000000000002;1.2;55;95;guitar;3;0;False;[];
12.000000000000002;1.2;62;95;guitar;4;12;False;[];
13.200000000000001;0.6;64;95;guitar;2;5;False;[];
13.200000000000001;0.6;61;95;guitar;3;6;False;[];
13.200000000000001;0.6;57;95;guitar;4;7;False;[];
13.8;0.6;66;95;guitar;2;7;False;[];
13.8;0.6;57;95;guitar;4;7;False;[];
13.8;0.6;50;95;guitar;5;5;False;[];
14.4;2.4;67;95;guitar;2;8;False;[];
14.4;2.4;59;95;guitar;4;9;False;[];
14.4;2.4;52;95;guitar;5;7;False;[];
16.8;1.2;53;95;guitar;5;8;False;[];
18.0;1.2;61;95;guitar;3;6;False;[];
18.0;1.2;58;95;guitar;4;8;False;[];
18.0;1.2;54;95;guitar;5;9;False;[];
19.200000000000003;1.2;54;95;guitar;4;4;False;[];
19.200000000000003;1.2;50;95;guitar;5;5;False;[];
19.200000000000003;1.2;47;95;guitar;6;7;False;[];
21.0;0.6;54;95;guitar;4;4;False;[];
21.6;0.6;55;95;guitar;4;5;False;[];
22.200000000000003;0.6;54;95;guitar;4;4;False;[];
22.8;1.2;52;95;guitar;4;2;False;[];
24.0;2.4;54;95;guitar;4;4;False;[];
24.0;2.4;50;95;guitar;5;5;False;[];
24.0;2.4;47;95;guitar;6;7;False;[];
26.400000000000002;1.2;53;95;guitar;4;3;False;[];
26.400000000000002;1.2;50;95;guitar;5;5;False;[];
26.400000000000002;1.2;46;95;guitar;6;6;False;[];
27.6;1.2;54;95;guitar;4;4;False;[];
27.6;1.2;50;95;guitar;5;5;False;[];
27.6;1.2;45;95;guitar;6;5;False;[];
28.8;1.2;54;95;guitar;4;4;False;[];
28.8;1.2;50;95;guitar;5;5;False;[];
28.8;1.2;43;95;guitar;6;3;False;[];
30.0;0.6;52;95;guitar;4;2;False;[];
30.0;0.6;49;95;guitar;5;4;False;[];
30.6;0.6;50;95;guitar;4;0;False;[];
30.6;0.6;47;95;guitar;5;2;False;[];
30.6;0.6;41;95;guitar;6;1;False;[];
31.2;1.2;42;95;guitar;6;2;False;[];
32.4;1.2;49;95;guitar;5;4;False;[];
33.6;1.2;47;95;guitar;5;2;False;[];
33.6;1.2;43;95;guitar;6;3;False;[];
34.8;1.2;47;95;guitar;5;2;False;[];
34.8;1.2;42;95;guitar;6;2;False;[];
36.0;0.6;47;95;guitar;5;2;False;[];
36.6;0.6;55;95;guitar;3;0;False;[];
36.6;0.6;47;95;guitar;5;2;False;[];
36.6;0.6;40;95;guitar;6;0;False;[];
37.199999999999996;1.2;54;95;guitar;4;4;False;[];
37.199999999999996;1.2;47;95;guitar;5;2;False;[];
37.199999999999996;1.2;42;95;guitar;6;2;False;[];
38.4;1.2;52;95;guitar;4;2;False;[];
38.4;1.2;47;95;guitar;5;2;False;[];
38.4;1.2;43;95;guitar;6;3;False;[];
39.6;0.6;50;95;guitar;4;0;False;[];
39.6;0.6;44;95;guitar;6;4;False;[];
40.199999999999996;0.6;52;95;guitar;4;2;False;[];
40.8;0.6;54;95;guitar;4;4;False;[];
40.8;0.6;45;95;guitar;5;0;False;[];
41.4;0.6;57;95;guitar;3;2;False;[];
42.0;0.6;62;95;guitar;2;3;False;[];
42.6;0.6;64;95;guitar;2;5;False;[];
43.199999999999996;1.2;66;95;guitar;2;7;False;[];
43.199999999999996;1.2;62;95;guitar;3;7;False;[];
44.4;0.6;46;95;guitar;6;6;False;[];
45.0;0.6;64;95;guitar;2;5;False;[];
45.0;0.6;61;95;guitar;3;6;False;[];
45.6;0.6;59;95;guitar;2;0;False;[];
45.6;0.6;62;95;guitar;3;7;False;[];
45.6;0.6;47;95;guitar;6;7;False;[];
46.199999999999996;0.6;50;95;guitar;4;0;False;[];
46.8;0.6;54;95;guitar;5;9;False;[];
47.4;0.6;56;95;guitar;4;6;False;[];
48.0;1.2;73;95;guitar;1;9;False;[];
48.0;1.2;66;95;guitar;2;7;False;[];
48.0;1.2;57;95;guitar;4;7;False;[];
48.0;1.2;49;95;guitar;6;9;False;[];
49.199999999999996;1.2;71;95;guitar;2;12;False;[];
49.199999999999996;1.2;56;95;guitar;5;11;False;[];
50.4;1.2;69;95;guitar;2;10;False;[];
50.4;1.2;63;95;guitar;3;8;False;[];
50.4;1.2;54;95;guitar;5;9;False;[];
50.4;1.2;48;95;guitar;6;8;False;[];
51.6;1.2;68;95;guitar;1;4;False;[];
51.6;1.2;61;95;guitar;2;2;False;[];
51.6;1.2;59;95;guitar;3;4;False;[];
51.6;1.2;53;95;guitar;4;3;False;[];
52.8;1.2;66;95;guitar;1;2;False;[];
52.8;1.2;57;95;guitar;3;2;False;[];
52.8;1.2;49;95;guitar;5;4;False;[];
52.8;1.2;42;95;guitar;6;2;False;[];
54.0;1.2;78;95;guitar;1;14;False;[];
54.0;1.2;73;95;guitar;2;14;False;[];
54.0;1.2;64;95;guitar;4;14;False;[];
54.0;1.2;58;95;guitar;5;13;False;[];
55.199999999999996;0.6;78;95;guitar;1;14;False;[];
55.199999999999996;0.6;73;95;guitar;2;14;False;[];
55.199999999999996;0.6;64;95;guitar;4;14;False;[];
55.199999999999996;0.6;58;95;guitar;5;13;False;[];
55.8;0.6;78;95;guitar;1;14;False;[];
55.8;0.6;71;95;guitar;2;12;False;[];
55.8;0.6;63;95;guitar;4;13;False;[];
55.8;0.6;57;95;guitar;5;12;False;[];
56.4;0.6;76;95;guitar;1;12;False;[];
56.4;0.6;71;95;guitar;2;12;False;[];
56.4;0.6;62;95;guitar;4;12;False;[];
56.4;0.6;56;95;guitar;5;11;False;[];
57.0;0.6;76;95;guitar;1;12;False;[];
